Funcao,Localização,Skills Necessarias,Média Salarial,separação 1,separação 2,separação 3,separação 4,Cargo
"RH & Ação Soluções em Pessoas
Programador de Assistência Técnica
Novo Hamburgo",Novo Hamburgo,"Atividades:
Programar atendimentos de assistência técnica em clientes, de forma otimizada.
Programar viagens para os mecânicos de campo quando necessárias e autorizadas.
Planejar as atividades internas e externas dos técnicos.
Assegurar o cumprimento de contratos de manutenção junto aos clientes.
Assegurar junto a empresa e aos clientes as manutenções dos equipamentos locados.
Garantir que os técnicos estejam com as documentações e integrações sempre normatizadas para atendimentos aos clientes.
Atender e negociar com clientes e fornecedores.
Requisitos:
Mostrar mais
Faixa de salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 4 mil.
R$ 3 mil – R$ 4 mil/mês (est. Empresa)
R$ 4 mil
/mês (mediana)
Novo Hamburgo
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 3 mil – R$ 4 mil/mês (est. Empresa),RH & Ação Soluções em Pessoas,Programador de Assistência Técnica,Novo Hamburgo,,Programador de Assistência Técnica
"Coodesh
Ruby on Rails Developer
Porto Alegre",Porto Alegre,"Descrição:

We are looking for a Rails developer for the development team behind Promote International - an education platform with customers and users all over the world. The platform has a wide range of customers from large multinationals to small education companies and is truly international, offering 21 languages with users in 25 countries.
As a Ruby on Rails developer, you will be part of a team responsible for the technical design and development of the platform. Together with the team, you will have responsibility for the entire scope: from infrastructure through to Rails and the front end.

Skills:







Vaga publicada na plataforma da Coodesh, fique atento ao redirecionamento que vai te levar para uma url coodesh.com com o pop-up personalizado de candidatura.
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
2019
Tipo
Empresa – capital fechado
Indústria
Soluções de software e redes corporativas
Setor
Tecnologia da informação
Receita
De US$ 1 a US$ 5 milhões
Classificações da empresa Coodesh
4,4
92 %
Recomendam para outras pessoas
Oportunidades de carreira
3,9
Remuneração e benefícios
3,9
Cultura e valores
4,4
Alta liderança
4,7
Qualidade de vida
4,5
Benefícios da empresa Coodesh
4,0
3 classificações
Avaliações de benefícios de funcionários
5 de dez. de 2023
Ex-Sales Manager em Belo Horizonte, MG, Minas Gerais
Home office, horário flexível, Day off de aniversário
31 de jan. de 2023
Ex-Funcionário em Belo Horizonte, MG, Minas Gerais
Poucos benefícios oferecidos pela empresa.
16 de ago. de 2022
Ex-Product Owner em Belo Horizonte, MG, Minas Gerais
Vantagem são os valores Caju",NF,Coodesh,Ruby on Rails Developer,Porto Alegre,,Ruby on Rails Developer
"SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA
4.3
Operador e programador de Solda Robô
Caxias do Sul",Caxias do Sul,"Criar programas, testar, liberar e replicar para os demais robôs; Ajustar os programas, testar, regular e liberar o robô de soldagem conforme eps; Realizar a manutenção básica do robô, bem como a troca de arame de solda, consumíveis e calibração da tocha de soldagem; Trocar gabaritos e programas de acordo com modelo; Revisar os pontos de Solda; Analisar a referência do ponto de partida de robô; Interpretar desenho e simbologia de solda; Treinar e orientar os demais.
Operador e programador de Solda Robô2201SAÚDE: Plano de saúde para
colaboradores e dependentes Plano odontológico
Programas de saúde: Controle e acompanhamento de
doenças crônicas, Bebê Chegando, Campanha de

Vacinação contra a Gripe RECONHECIMENTO:
Programa de Participação nos Lucros e Resultados


Programa de Recrutamento Interno Universidade


Restaurante Interno Transporte fretado Licença
maternidade estendida Auxílio creche e babá para as
mamães Previdência Privada (Marcoprev) Seguro de
Dia do
Colaborador, Honra ao Mérito, Festa de Natal Fundação
Sede Recreativa, ações de esporte e lazer,
programas sociais e diversos convênios. OUTRAS
Farmácia Interna | Agências Bancárias
Internas
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA
4,3
100 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,9
Cultura e valores
4,6
Alta liderança
4,6
Qualidade de vida
4,6",NF,SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA,4.3,Operador e programador de Solda Robô,Caxias do Sul,Operador e programador de Solda Robô
"Selina Emprega
5.0
Programador de Produção
Novo Hamburgo",Novo Hamburgo,"Experiência em programação de Produção de Calçados.
Programar e acompanhar junto as fabricas.

Selina Silveira- Fone: 51 994862020
Publicação: 11/03/2024
Categoria: Escritório de Desenvolvimento de Calçados
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Selina Emprega
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
5,0
Remuneração e benefícios
5,0
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
5,0",NF,Selina Emprega,5,Programador de Produção,Novo Hamburgo,Programador de Produção
"Novodente
Desenvolvedor
Porto Alegre",Porto Alegre,"Atividades:
Realizar manutenção dos sistemas existentes;
Análise e desenvolvimento de novas funcionalidades;
Realizar administração de CMS WordPress;
Realizar testes para garantir funcionalidade e performance em diversas plataformas e dispositivos;
Possuir excelentes habilidades de comunicação e trabalho em equipe;
Atuar na comunicação com as diversas áreas da empresa para análise e resolução dos problemas relacionados aos sistemas;
Requisitos:
Experiência com HTML / CSS / Javascript;
Experiência com React, Next.js e Kotlin;
Conhecimento em PostgreSQL;
Conhecimento em WordPress;
Conhecimento de boas práticas de programação em geral, como por exemplo os conceitos do SOLID;
Conhecimentos de boas práticas de segurança para web como por exemplo autenticação via JSON Web Token;
Capacidade de desenvolver interfaces de usuário responsivas e funcionais;
Desejável Graduação em Tecnologia da Informação ou áreas relacionadas;
Experiência com SEO é desejável.






Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Novodente
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
5,0
Remuneração e benefícios
5,0
Cultura e valores
2,0
Alta liderança
5,0
Qualidade de vida
5,0",NF,Novodente,Desenvolvedor,Porto Alegre,,Desenvolvedor
"Divulga Vagas - Consultoria
4.8
Analista Desenvolvedor Java Pleno Ou Sênior – Remoto – Porto Alegre – RS - Vaga
Porto Alegre",Porto Alegre,"Competências:

Saber trabalhar em equipe
Focado
Procurando sempre se atualizar em tecnologias, aberto a críticas e extremamente responsável quanto a metas e prazos.
Ser organizado
Dinamismo e pro-atividade.
Ser pontual/Comprometido (a).
Gostar de estudar
Requisitos














Não informado
Horário a Combinar.
Benefícios a combinar

Observações:

Contratação CLT
Vaga 100% Remota
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Self-employed
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Divulga Vagas - Consultoria
4,8
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,8
Remuneração e benefícios
5,0
Cultura e valores
4,7
Alta liderança
4,6
Qualidade de vida
4,8",NF,Divulga Vagas - Consultoria,4.8,Analista Desenvolvedor Java Pleno Ou Sênior – Remoto – Porto Alegre – RS - Vaga,Porto Alegre,Analista Desenvolvedor Java Pleno Ou Sênior – Remoto – Porto Alegre – RS - Vaga
"RH Talentos
Programador de Torno CNC e Centro de Usinagem
Bento Gonçalves",Bento Gonçalves,"Programador de Torno CNC e Centro de Usinagem

Cargo
Analista Administrativo

Quantidade
1

Descrição
Desenvolver toda a programação do Torno CNC e Centro de Usinagem; Desenvolvimento de dispositivos CNC; Avaliação de ferramentas adequadas para Torno CNC.





Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",NF,RH Talentos,Programador de Torno CNC e Centro de Usinagem,Bento Gonçalves,,Programador de Torno CNC e Centro de Usinagem
"Capta RH
Op/ Programador de Centro de Usinagem
Caxias do Sul",Caxias do Sul,"Descrição e atividades
Operação e Programação de centro de usinagem Mitsubishi, Machining
Requisitos
Experiência com programação de centro de usinagem, comando Mitsubishi e que saiba programar no software Machining Estrategist.
Vagas para 1 e 2 turno. Possuir transporte próprio para o 2 turno.
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",NF,Capta RH,Op/ Programador de Centro de Usinagem,Caxias do Sul,,Op/ Programador de Centro de Usinagem
"Estágio Sul Recursos Humanos
5.0
Administracao Enfase Analise De Sistemas
Porto Alegre",Porto Alegre,"Outros beneficios
VR R$ 22,90.
Horário
Segunda à Sexta - 9h às 16h com intervalo.

REQUISITOS

Cursando Técnico OU Superior em Análise e desenvolvimento de sistemas e áreas afins. Desejável conhecimento em Lógica de programação, PHP, SQL, C# E Java Script.

ATIVIDADES





Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Estágio Sul Recursos Humanos
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
5,0
Remuneração e benefícios
3,0
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
5,0",NF,Estágio Sul Recursos Humanos,5,Administracao Enfase Analise De Sistemas,Porto Alegre,Administracao Enfase Analise De Sistemas
"Skeel
4.4
Programador (a) CAD/CAM - Carlos Barbosa/RS
Garibaldi",Garibaldi,"Programador (a) CAD/CAM - Carlos Barbosa/RS
Huma Treinamento e Desenvolvimento
Informações gerais
Descrição
Requisitos:
Vivência na área de usinagem (operação e/ou desenvolvimento)

Necessário experiência como programador em máquinas CNC;
Domínio em desenho técnico mecânico;
Conhecimento em desenvolvimento de projetos
Conhecimento em SprutCam será um diferencial.

Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Skeel
4,4
88 %
Recomendam para outras pessoas
Oportunidades de carreira
3,7
Remuneração e benefícios
4,0
Cultura e valores
4,2
Alta liderança
4,4
Qualidade de vida
4,4",NF,Skeel,4.4,Programador (a) CAD/CAM - Carlos Barbosa/RS,Garibaldi,Programador (a) CAD/CAM - Carlos Barbosa/RS
"SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA
4.3
Programador de Centro de Usinagem
Caxias do Sul",Caxias do Sul,"Fazer setup de máquina-Programar -Operar a Máquina-Experiência mínima 4 anos-Comando FANUC, MITSUBISHI
Programador de Centro de Usinagem2201plano de Saúde Unimed, Vale Alimentação, Ajuda de Custo com Combustível, Farmácia, Odontologia, Emercor, Ótica e Livraria. Insalubridade 20% Reajuste de 10% após experiência
Mostrar mais
Salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 4 mil.
R$ 4 mil/mês (est. Empresa)
Caxias do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA
4,3
100 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,9
Cultura e valores
4,6
Alta liderança
4,6
Qualidade de vida
4,6",R$ 4 mil/mês (est. Empresa),SUCESSOR-RH SELEÇÃO E DESENVOLVIMENTO DE PESSOAS LTDA,4.3,Programador de Centro de Usinagem,Caxias do Sul,Programador de Centro de Usinagem
"Skeel
4.4
Programador de Máquina Corte Laser
Caxias do Sul",Caxias do Sul,"Programador de Máquina Corte Laser
LM SCOPEL RECURSOS HUMANOS
Informações gerais
Descrição
Programador de Máquina Corte Laser
Atividades
Programar máquina conforme sequenciamento de produção vindo do PCP
Passar programas sequenciados para os Operadores das Máquinas
Controlar e distribuir consumíveis
Solicitar compra de consumíveis
Controlar retalhos
Mostrar mais
Visão geral da empresa
Tamanho
1 a 50 funcionários
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa Skeel
4,4
88 %
Recomendam para outras pessoas
Oportunidades de carreira
3,7
Remuneração e benefícios
4,0
Cultura e valores
4,2
Alta liderança
4,4
Qualidade de vida
4,4",NF,Skeel,4.4,Programador de Máquina Corte Laser,Caxias do Sul,Programador de Máquina Corte Laser
"Futuro Recursos Humanos
Programador Delphi em Caxias do Sul - RS
Caxias do Sul",Caxias do Sul,"Desenvolver e manter sistemas em Delphi, analisar e documentar requisitos de software, testar e depurar aplicativos, documentar e manter registros precisos de todas as alterações de software.
Salário:
Empresa avalia pretensão salarial.
Requisitos:
Experiências e qualificações: Experiência em desenvolvimento de software em Delphi, bem como habilidades em análise e design de sistemas. Conhecimento em banco de dados SQL e Modelagem de Dados. Formação superior em Ciência da Computação, Engenharia de Software ou áreas afins (possibilidade de estar cursando).
Ocupação:
Programador Delphi
Beneficios:
Vale transporte pago em dinheiro (valor pago mensalmente referente as passagens dos dias a trabalhar) se preferir pode usar como combustível e ir com veículo próprio, o vale alimentação é um cartão Alelo (entregue todo o dia 1ª, com valor de R$ 28,00 diário), é possível levar o almoço de casa, a empresa dispõe de micro ondas, mas se preferir pode almoçar em um restaurante próximo. Pelos dois benefícios acima a empresa desconta apenas R$ 10,00 mensalmente.
Tipo de contrato:
CLT (Efetivo)
Quantidade:
1
Localização:
Caxias do Sul - RS
Empresa:
Trata-se de uma empresa do ramo de Informática que se localiza no bairro Cruzeiro (próximo a AN Surdinas) em Caxias do Sul.",NF,Futuro Recursos Humanos,Programador Delphi em Caxias do Sul - RS,Caxias do Sul,,Programador Delphi em Caxias do Sul - RS
"GP Temporários
Programador Full Stack- Porto Alegre RS
Porto Alegre",Porto Alegre,"Atividades:
Analisar, desenvolver e aprimorar a eficiência, estabilidade e performance do sistema.
Experiência e sólidos conhecimentos em PHP, JavaScript/jQuery, Bootstrap e MySQL. Conhecimento em Laravel, será considerado um diferencial.
Mínimo 2 anos de experiência.
Preocupação constante com a segurança do software.
Conhecimentos de metodologias ágeis, boas habilidades de comunicação e capacidade de trabalho em equipe.
Interesse e facilidade em aprender novas práticas e tecnologias.
Bom domínio de Inglês para não criar métodos e classes com nomes estranhos ;)
Mostrar mais
Salário base
O salário mínimo é de R$ 3 mil e o salário máximo é de R$ 3 mil.
R$ 3 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 3 mil/mês (est. Empresa),GP Temporários,Programador Full Stack- Porto Alegre RS,Porto Alegre,,Programador Full Stack- Porto Alegre RS
"Tallentos
Programador e Operador de Centro de Usinagem e torno CNC
São Leopoldo",São Leopoldo,"1 Vaga - Programador e Operador de Centro de Usinagem e torno CNC
Imprescindível Programação de torno CNC e CNC
Experiência 2 anos como programador e operador CNC - Leitura e interpretação de desenho técnico e metrologia, preparar e operar centro de usinagem, para produção de peças e componentes, realizando a inspeção conforme parâmetros estabelecidos, efetuando as correções permitidas para a produção de peças e componentes, sinalizando a necessidade de ajustes nos programas.
Essencial que possua bons conhecimento em software, Conhecimento em Comando Fanuc, Conhecimento em comando Siemens
Horário: 7h às 11h25 e 12h25 às 16h48 hs( segunda a sexta - feira)
Salário R$ 12,00 hora + 20% insalubridade
Residir Sapucaia do Sul ou proximidades

Candidatar-se
Mostrar mais
Salário base
O salário mínimo é de R$ 12,00 e o salário máximo é de R$ 12,00.
R$ 12,00/hora (est. Empresa)
São Leopoldo
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica","R$ 12,00/hora (est. Empresa)",Tallentos,Programador e Operador de Centro de Usinagem e torno CNC,São Leopoldo,,Programador e Operador de Centro de Usinagem e torno CNC
"Futuro Recursos Humanos
Operador e Programador de Torno CNC (Fanuc e Mazatrol) em Caxias Do Sul - RS
Caxias do Sul",Caxias do Sul,"Programar e operar torno CNC de comando Mazatrol ou Fanuc.
Requisitos:
Experiências e qualificações: Possuir experiência na função e conhecimento em programação.
Ocupação:
Operador e Programador de Torno CNC (Fanuc e Mazatrol)
Beneficios:
Plano de saúde, alimentação, auxilio no transporte.
Tipo de contrato:
CLT (Efetivo)
Quantidade:
2
Localização:
Caxias Do Sul - RS
Empresa:
Confidencial",NF,Futuro Recursos Humanos,Operador e Programador de Torno CNC (Fanuc e Mazatrol) em Caxias Do Sul - RS,Caxias do Sul,,Operador e Programador de Torno CNC (Fanuc e Mazatrol) em Caxias Do Sul - RS
"OEmprego
4.5
DESENVOLVEDOR ASP.NET C# PLENO – CÓD. 1706 - PORTO ALEGRE
Porto Alegre",Porto Alegre,"DESENVOLVEDOR ASP.NET C# PLENO

Obs. Do cargo: Irá atuar em uma empresa de TI em POA.

Requisitos: Curso superior na área de TI completo. Conhecimentos em ferramentas de Microinformática; Análise e Modelagem de Sistemas; Processos de Desenvolvimento; Ferramentas de Desenvolvimento Visual Studio, TFS; Domínio em serviços baseados em Cloud Computing, Web Services; Domínio das linguagens .Net, ASP NET, C#; Conhecimento em bancos de dados Oracle e SQL Server; Desejável conhecimentos em React e Angular

Remuneração: R$ 3.900,00

VT, VR ou VA, Assistência Médica e Odontológica e Seguro de Vida.

Irá realizar as atividades de manutenção em sistemas já existentes, bem como trabalhar a evolução dos produtos; Projetar, analisar e desenvolver funcionalidades e soluções alinhadas as necessidades dos clientes; Executar, quando necessário, a preparação e manutenção do ambiente de testes para os sistemas, a elaboração dos casos de testes, a execução dos scripts de teste, o registro de ocorrências e o reporte ao superior imediato; Realizar viagens e visitas aos clientes para implantação de customizações de produtos e outras demandas relacionadas ao escopo de trabalho do setor.

40 horas semanais de segunda a sexta

Ter vivência na área.

CLT

Porto Alegre

Interessados enviar currículo para vagas@desenvolver-rh.com.br com o código 1706 no assunto.. Cargo: DESENVOLVEDOR ASP.NET C# PLENO – CÓD. 1706 - PORTO ALEGRE | Salario: R$ 3.900,00. | Ensino: . | Turno: Integral. | Area: Informática. | Experiencia: . | Cidade: Porto Alegre / RS
Mostrar mais
Salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 4 mil.
R$ 4 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa OEmprego
4,5
100 %
Recomendam para outras pessoas
Oportunidades de carreira
4,7
Remuneração e benefícios
4,7
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
4,7",R$ 4 mil/mês (est. Empresa),OEmprego,4.5,DESENVOLVEDOR ASP.NET C# PLENO – CÓD. 1706 - PORTO ALEGRE,Porto Alegre,DESENVOLVEDOR ASP.NET C# PLENO – CÓD. 1706 - PORTO ALEGRE
"Hunt RH
Front End Tech Lead
Porto Alegre",Porto Alegre,"A HUNT IT está atendendo empresa de tecnologia, com forte atuação em inovação global , presente em mais de 50 paises.

O profissional fará parte do time da operação do Brasil, e poderá fazer parte de projetos junto com os times dos EUA, ou projetos para a Europa.

Atividades

Compor os times com expertise em desenvolvimento front end;

Auxiliar o time nas rampas técnicas em atividades de alta complexidade;

Desenvolver os colegas em questões técnicas;

Mentorar os desenvolvedores juniores;

Projetar e desenvolver o front end de páginas web e suas aplicações;

Realizar a manutenção de códigos, através de testes e correção de erros;

Apoiar a integração com o back end do sistema.



Sólida experiência em tecnologias como HTML, Javascript e Typescript;

Experiência em frameworks de Front end como React, Angular, JQuery e Vue;

Experiências nas bibliotecas Redux, Flux e Hooks;

Aplicação de testes unitários, Clean Code e Clean Architecture;

Familiaridade com desenvolvimento ágil;

Conhecimento no idioma inglês, comunicação verbal e escrita em nível avançado.

Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital aberto
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica",NF,Hunt RH,Front End Tech Lead,Porto Alegre,,Front End Tech Lead
"D Scherer Assessoria em RH e Carreira
Programador de Produção
Porto Alegre",Porto Alegre,"Indústria Alimentícia contrata: Programador de Produção
Atividades:
- Planejar e elaborar um plano de produção
- Realizar e acompanhar a programação diária das linhas de produção
- Emissão de ordens de produção;
- Acompanhar as movimentações na produção
- Contrar, formar e desenvolver a equipe
- Responsável por indicadores da sua área
Requisitos:
Experiência em Indústria Alimentícia
Escolaridade:
Mostrar mais
Salário base
O salário mínimo é de R$ 5 mil e o salário máximo é de R$ 5 mil.
R$ 5 mil/mês (est. Empresa)
Porto Alegre
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 5 mil/mês (est. Empresa),D Scherer Assessoria em RH e Carreira,Programador de Produção,Porto Alegre,,Programador de Produção
"FUTUROCOMECEAGORA/ FUTURO RH
5.0
Operador e Programador de Torno CNC (Fanuc e Mazatrol)
Caxias do Sul",Caxias do Sul,"Programar e operar torno CNC de comando Mazatrol ou Fanuc.
Operador e Programador de Torno CNC (Fanuc e Mazatrol)442Plano de saúde, alimentação, auxilio no transporte.

Requisitos: Experiências e qualificações:
Possuir experiência na função e conhecimento em programação.
Mostrar mais
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa FUTUROCOMECEAGORA/ FUTURO RH
5,0
100 %
Recomendam para outras pessoas
Oportunidades de carreira
5,0
Remuneração e benefícios
4,4
Cultura e valores
5,0
Alta liderança
5,0
Qualidade de vida
5,0",NF,FUTUROCOMECEAGORA/ FUTURO RH,5,Operador e Programador de Torno CNC (Fanuc e Mazatrol),Caxias do Sul,Operador e Programador de Torno CNC (Fanuc e Mazatrol)
"RH & Ação Soluções em Pessoas
Programador de PCP
São Leopoldo",São Leopoldo,"Atividades:
Planejar e controlar todos os processos produtivos, bem como a necessidade e estoque de matéria prima de forma a atender todos pedidos com menor prazo, menor custo e maximizando a eficácia dos equipamentos.
Fazer programação de materiais para a fábrica e acompanhamento da produção
Definir com áreas de expedição e vendas prioridades e cumprimentos de entregas
Efetuar compra e controle de matéria-prima e estoque de produtos acabados..
Requisitos:
Desejável Ensino Superior cursando ou concluído em Administração, Logística, Engenharia ou áreas relacionadas
Mostrar mais
Salário base
O salário mínimo é de R$ 4 mil e o salário máximo é de R$ 4 mil.
R$ 4 mil/mês (est. Empresa)
São Leopoldo
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.",R$ 4 mil/mês (est. Empresa),RH & Ação Soluções em Pessoas,Programador de PCP,São Leopoldo,,Programador de PCP
"Garupa
3.8
Desenvolvedor React Native Pleno/Sênior - PJ
Porto Alegre",Porto Alegre,"Estamos à procura de um Desenvolvedor React Native Pleno/Sênior experiente e apaixonado(a) para se juntar à nossa equipe de tecnologia. O(a) candidato(a) ideal terá experiência sólida em desenvolvimento mobile utilizando React Native, com um profundo conhecimento de Redux e Redux Saga, e terá prática com componentes baseados em classes. Deverá também ter habilidade em manipular o Git e experiência com metodologias ágeis. Além disso, será referência técnica para outros membros da equipe, por isso buscamos um perfil que goste de ensinar e auxiliar no desenvolvimento de devs menos experientes.

Responsabilidades:
Desenvolver e manter aplicações mobile utilizando React Native;
Gerenciar o estado da aplicação com Redux e manipular efeitos colaterais com Redux Saga;



Mostrar mais
Visão geral da empresa
Tamanho
51 a 200 funcionários
Fundação
2017
Tipo
Empresa – capital fechado
Indústria
Serviços de apoio à tecnologia da informação
Setor
Tecnologia da informação
Receita
Desconhecido/Não se aplica
Classificações da empresa Garupa
3,8
71 %
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,3
Cultura e valores
3,6
Alta liderança
3,5
Qualidade de vida
3,6",NF,Garupa,3.8,Desenvolvedor React Native Pleno/Sênior - PJ,Porto Alegre,Desenvolvedor React Native Pleno/Sênior - PJ
"MISSÃO RH
3.0
Operador e Programador de Torno CNC
Caxias do Sul",Caxias do Sul,"Efetivo
Cod. 5789
Compartilhar:
Localização
Bairro São Ciro
Horário de Trabalho
TURNO DIA 06:00 às 15:48 | TURNO NOITE 15:48 às 01:06
Salário
À combinar
Benefícios
Auxílio combustível ou vale transporte; Almoço; 50% Plano de Saúde Unimed.
Mostrar mais
Salário base
O salário mínimo é de R$ 6,00 e o salário máximo é de R$ 6,00.
R$ 6,00/hora (est. Empresa)
Caxias do Sul
Caso a empresa inclua um salário ou uma faixa salarial em uma vaga, nós o exibimos como ""Estimativa da empresa"". Caso a vaga não tenha informações de salário, o Glassdoor exibe uma ""Estimativa do Glassdoor"", se disponível. Para saber mais sobre as ""Estimativas do Glassdoor', consulte nossa página de Perguntas frequentes.
Visão geral da empresa
Tamanho
Desconhecido
Fundação
--
Tipo
Empresa – capital fechado
Indústria
--
Setor
--
Receita
Desconhecido/Não se aplica
Classificações da empresa MISSÃO RH
3,0
N/A
Recomendam para outras pessoas
Oportunidades de carreira
3,5
Remuneração e benefícios
3,0
Cultura e valores
3,5
Alta liderança
3,5
Qualidade de vida
3,5","R$ 6,00/hora (est. Empresa)",MISSÃO RH,3,Operador e Programador de Torno CNC,Caxias do Sul,Operador e Programador de Torno CNC
